id,create_stamp,modify_stamp,version,exercises_dept,exercises_number,name,nature,organization_command,purpose,region,start_time,subjects
512155821680328704,2020/11/14 06:44:23.283000000,2020/11/14 06:44:23.315000000,6,第7舰队、第3陆战远征部队、第11航空队等，参演兵力在1万人以上。2016年各型舰艇13艘、飞机，80余架及官兵1.8万人参加，继续保持较大规模。,11,美军英勇盾牌,诸军兵种合成实兵演习。,美太总部主持，太平洋舰队司令部具体实施。,重点演练美军在亚太实施大规模军事干预的相关作战预案。以关岛模拟台岛，着眼应对我对台作战。近年来更强调针对“反介入”威胁开展演练。,关岛及其周边海空域。,"演习始于2006年，迄今共举行11次（2006,2007,2010,2012,2014）",反舰、反潜、防空、反导、对地攻击、空中格斗、海上渗透、海上补给、海上拦截、机降登陆、侦察监视、联合搜救、太空战、网络战、电子战等。
512155821827129344,2020/11/14 06:44:23.318000000,2020/11/14 06:44:23.336000000,5,太总部及其军种组成司令部、驻日和驻韩美军司令部、第519联合特遣部队司令部、参联会、战略司令部、运输司令部、国防情报局、国家安全局、国家侦察局等;美国务院、商务部、能源部、运输部和中央情报局等派员参加。,,美军终极愤怒,美太总部级别最高的例行性年度指挥所演习。,太总部主持，第519联合特遣部队司令部具体组织实施。,以演练和完善干预台海冲突的“5077作战计划”为主，同时兼顾太总部的其他应急作战计划，检验太总部和第519联合特遣部队司令部应急作战指挥能力。,,演习始于2002年,指挥控制、情报监视与侦察、反导、网络战、非战斗人员撤运等。
512155821915209728,2020/11/14 06:44:23.339000000,2020/11/14 06:44:23.357000000,6,美军主要有太总部各军种组成司令部、驻韩美军司令部、第8集团军、第7舰队、第7航空队、第3陆战远征部队等。2017年，美军参演兵力约1.5万，韩军29万。出动“卡尔·文森”号航母、“哥伦布”号核潜艇、B-1B战略轰炸机、F-35B隐形战斗机等武器平台，运用“4D作战概念”演练对朝射导实施反制，模拟演练利用“萨德”系统探测击落朝弹道导弹，出动特种部队3000余人参演，规模为历史最大。,25,美韩主要联合军演：关键决心/鹦鹰,美韩年度战区级计算机模拟指挥所(“关键决心”部分)带部分实兵演习(“鹦鹰”部分)。,美韩军参联会共同协调，美太总部主持，美韩联合部队司令部具体组织实施。,检验和完善美韩相关对朝作战计划，熟悉对朝作战程序，提升美韩两军联合作战能力。,韩境内及周边海域。,"演习始于1994年，原名“阿尔索伊/鹦鹰”，2008年改为现用名。通常每年3,4月举行。",“关键决心”部分主要包括威慑接敌、应对局部挑衅、防御作战、反攻并夺取主导权、脱北居民管制等。“鹦鹰”部分包括空中、海上、地面和两栖登陆演练(即“双龙”两栖登陆演习)四部分，演练美军增援半岛和美韩“由守转攻”，具体科目包括防空反导、制空作战、对地攻击、反潜反舰、机动攻防、特种作战、两栖登陆等。
512155822003290112,2020/11/14 06:44:23.360000000,2020/11/14 06:44:23.379000000,6,美军主要有太总部及其军种组成司令部、驻日和驻韩美军司令部、第8集团军、第7舰队、第3陆战远征部队、第7航空队等。2017年主要参演兵力包括5万名韩军和1.75万名美军。澳大利亚、加拿大、哥伦比亚、丹麦、新西兰、荷兰、英国等联合国军司令部七国也派员参观本次演习，规模呈现逐年缩减趋势。,11,美韩主要联合军演：乙支/自由卫士,“乙支”部分是韩政府单独组织的年度例行性国家危机处置演习;“自由卫士”部分是美韩年度计算机模拟指挥所带部分实兵演习。,美韩军参联会共同协调，美太总部主持，美韩联合部队司令部具体组织实施。,演练美韩朝鲜半岛“5015”作战计划，完善美韩联合部队司令部及所属各级司令部的作战指挥程序，提高美韩部队联合指挥与作战能力.检验韩政府战时体制转换和战争动员程序、危机处置能力和后方防御能力。,韩境内及周边海域。,"演习始于1976年，原名“乙支/焦点透镜”，2008年改为现用名。一般每年8,9月在韩境内举行。",反导、地面攻防、空中作战、海上作战、特种作战、两栖作战、核生化防御、非战斗人员撤运和战时民防工作等。2017年大幅提升攻击性实战科目，包括“斩首行动”、先发制人打击朝鲜核设施和拦截朝鲜导弹等。
512155822091370496,2020/11/14 06:44:23.381000000,2020/11/14 06:44:23.398000000,6,美第7舰队部分舰艇;韩海军作战司令部、美韩联合部队司令部组织，反特种作战等。第2舰队及空军部分飞机,10,美韩海上反特种作战演习,美韩海军季度性演习。,最初由美军主导，2006年后改为韩军主导。韩海军第1、2舰队司令部指挥。,检验和提高美韩联合海上反特种作战能力。,韩东、西部海域。,演习起始时间：,防空、反潜、水雷战、电子战、海上拦截、
512155822175256576,2020/11/14 06:44:23.401000000,2020/11/14 06:44:23.419000000,6,美第7舰队部分舰艇;韩海军作战司令部及部分舰艇。,25,美韩联合反潜演习,美韩年度例行性联合反潜演习。,美第7舰队和韩海军作战司令部共同组织。,检验美韩海军反潜部队战备水平，演练和完善两军联合反潜作战程序与战术，同时评估韩海军独立反潜作战能力。,韩周边海域。,又称“舰船反潜战备效能评估”演习。美军自1969年开始与盟国联合举行此类演习。韩海军从1994年开始与美举行该演习。,潜艇跟踪、反潜自由攻防、潜艇威胁下的海上机动等。
512155822263336960,2020/11/14 06:44:23.422000000,2020/11/14 06:44:23.439000000,6,"美第7航空队和韩空军作战司令部。2017年参演兵力包括美军约1000名人员、韩军约500名人员.美军F-16,AV-8B,EA-18G,韩军F-15K,F-16,F-5E。",10,美韩最大雷演习,美韩空军联合空战演习。,美第7航空队和韩空军作战司令部联合组织实施。,提升美韩空军部队战术技能及双方协同、应急作战能力。,韩国。,演习始于2008年，一般每年2次，从2015年开始改为年度演习。,空中打击、空中遮断、空中侦察、空运补给、防御性制空作战等。
512155822343028736,2020/11/14 06:44:23.441000000,2020/11/14 06:44:23.458000000,6,"美空军第7航空队和韩空军作战司令部组织，第607航空航天作战中心具体指挥。2017年，美空军第5航空队、第7航空队、海军、海军陆战队等约1.2万人以及包括F-22,F-35战机在内的230余架美韩军机参加。",10,美韩警惕王牌演习,美韩年度例行性空中作战演习。,驻韩美空军司令部和韩空军作战司令部。,演练空中作战战法，熟悉平战转换程序和作战流程，提升美韩空军战备水平和协同能力。,韩国周边海空域。,原为“贝弗利·斗牛犬”系列空中演习，2015年改为现名。,空中编队进攻、紧急空中遮断、对地(海)攻击、近距离空中支援、防御制空、反火力战、水面战斗巡逻等。
512155822426914816,2020/11/14 06:44:23.460000000,2020/11/14 06:44:23.476000000,6,美海、空军;日航空自卫队，澳、韩空军。2017年，美空军、海军、海军陆战队、日本航空自卫队、澳大利亚空军的22个单位、1700人和超过100架飞机参加此次演习。美军派遣多型战机参演，包括战斗机、轰炸机、加油机、指挥预警机和救援飞机.其中B-1B型机首次参演。美军参演比重增加.日澳则有所缩减。,30,美日对抗北演习,以美、日为主的年度联合空战演习。,美太总部空军司令部。,评估和检验参演国空军部队技战术和作战程序，提高参演国在太平洋地区的空中力量运用水平和协同能力。,最初在日北部举行，1999年后在关岛举行，近年在冲绳周边举行。,"演习始于1978年，最初为美日联演，2012年澳大利亚首次实兵参演，2014年韩国首次实兵参演，2015年菲律宾与新西兰首次参演，通常于2,3月份举行。",空战、电子战、对地攻击、对舰攻击、空中拦截、空中侦察、空中加油、战术空运、人道主义救援等。
512155822502412288,2020/11/14 06:44:23.479000000,2020/11/14 06:44:23.499000000,6,美第7舰队;日海上自卫队联合舰队。2017年，日军25艘舰艇、60余架飞机，美军里根号航母打击大队等10艘舰艇参演。,35,美日**G年度演习,美日海军年度综合演习。,日海上自卫队联合舰队司令部和美第7舰队司令部共同组织。,检验两国海军共同应对突发事件能力，提升协同指挥和联合作战水平。,日周边海域。,"演习始于1985年，以日本年号为代号，如2016年(平成28年)的演习代号为“平成28G""。",防空、反舰、反潜、反导、电子战、海上机动、海上补给等。
512155822598881280,2020/11/14 06:44:23.502000000,2020/11/14 06:44:23.519000000,6,太平洋舰队司令部、海军陆战队第3陆战远征部队、驻日美军司令部等旧陆上、海上、航空自卫队参谋部。约600美军人员参加2016年举行的“利刃2016”演习。,17,美日利刃演习,美日联合指挥所演习。,驻日美军司令部和日联合参谋部共同组织。,演练各种情况下美日各级司令部实施联合作战的指挥程序，提高双方协同作战及组织指挥能力。,日本。,演习始于1986年，每两年举行1次。,非战斗人员撤运、反导、部队保护、后勤支援、防空、空域控制、反恐、情报战、电子战、海上遮断作战等。
512155822682767360,2020/11/14 06:44:23.522000000,2020/11/14 06:44:23.540000000,6,美方参演兵力主要来自第5航空队、第7舰队、第3陆战远征部队，一般在1万人左右。日方参演兵力来自陆上、海上、航空自卫队所属各部队，约1至3.5万人。2016年美军参演兵力约1.，万人。,17,美日利剑演习,美日联合实兵演习。,美太总部和日联合参谋部共同主持，驻日美军和日自卫队组织实施。,提高美日协同作战和联合防御能力，促进美日部队之间的相互合作，训练和检验日自卫队的指挥与控制系统。,日本。,演习始于1986年，每两年举行1次。,空战、防空、反潜、电子战、水面作战、两栖登陆、地面机动作战等。
512155822770847744,2020/11/14 06:44:23.542000000,2020/11/14 06:44:23.561000000,6,"驻日美陆军司令部、日陆上自卫队参谋部，2016,2017年均保持6606人参演规模，其中美军1600人，日方5000人。",10,美日山樱演习,美日年度例行计算机模拟指挥所演习。,美参联会和日联合参谋部共同主持，驻日美陆军司令部和日陆上自卫队参谋部具体组织实施。,提升美日军联合战备水平和协同作战能力，包括演练美军地面部队向日部署能力。,日本、夏威夷、美本土轮流进行。,演习始于1982年。,地面攻防、两栖作战、空中机动作战、核生化防护、信息战、电子战、反导等。
512155822854733824,2020/11/14 06:44:23.563000000,2020/11/14 06:44:23.581000000,6,驻日美陆军司令部、日陆上自卫队参谋部2017年日陆上自卫队第1师第34步兵团约，200名人员、美陆军，-25旅战斗队3-21营约1200名人员参演，主要装备包括日10式坦克、87式反坦克导弹、AH-1直升机，美“前锋”装甲车、“标枪”反坦克导弹、AH-64直升机等。,30,美日东方盾牌,年度双边野外演习。,驻日美陆军和日本陆上自卫队共同主办。,强化美日军战术协同能力，展示美对日安全承诺。,日本仙台附近王城寺原演习场。,演习始于1986年，每年举行一次。,实弹射击、机动、后勤和医疗训练等。
512155822938619904,2020/11/14 06:44:23.583000000,2020/11/14 06:44:23.600000000,6,美海军陆战队、日陆上自卫队。2017年，包括美海军陆战队第3陆战师第4海军陆战团的一个营、第12海军陆战团(炮兵)的一个营等约2000人；日陆上自卫队第11旅第28步兵团、第11炮兵团等约1300人参演。,20,美日北方毒蛇,美日联合应急演习。,美海军陆战队与日陆上自卫队共同主办。,强化日美两军实战协作水平，帮助日陆上自卫队组建应急机动部队。,北海道大演习场、富良野演习场等,演习起始时间：,联合军兵种战术熟练性训练、近距离空中支援、部队机动和医疗支援等
512155823022505984,2020/11/14 06:44:23.603000000,2020/11/14 06:44:23.618000000,6,驻日美空军与日航空自卫队的救援部队。2017年，美空军驻日本三泽的部队与日本航空自卫队秋田救援中队参演。,15,美日对抗天使,美日联合搜救演习,美空军与日航空自卫队共同主办,提高美日空军联合搜索和救援能力,日本冲绳，2017年首次在日本本土的德劳恩靶场、三泽空军基地等地举行,演习始于1979年，一般2年举行1次。,昼间救援、夜间救援、水上搜救等。
512155823093809152,2020/11/14 06:44:23.620000000,2020/11/14 06:44:23.634000000,6,"美方参演兵力主要来自第3,7舰队。近年来.参演国家持续增加，2016年达26国，创历史新高。演习总兵力达2.5万人，包括45艘水面舰艇、5艘潜艇和200余架飞机。我军第2次派实兵参演。",26,环太平洋多国海上联合演习,全球规模最大的例行性多国海上联合军演。,美太平洋舰队主持，第3舰队组织实施。,拓展美与相关国家间军事合作，强化美在亚太军事存在;提升参演国海军协同作战和遂行多样化任务的能力。,夏威夷周边海域及加利福尼亚州南部海域。,演习始于1971年，每2年举行一次，迄今共举行26次。,火炮射击、导弹发射、两栖作战、反潜、防空、反海盗、反水雷、海上控制、简易爆炸物处置、潜水、打捞、人道主义援助和灾难救援。
512155823160918016,2020/11/14 06:44:23.636000000,2020/11/14 06:44:23.650000000,5,美方参演兵力主要来自第7舰队，100至，000余人不等。,,卡拉特系列联合演习,美与东南亚等国在当地举行的年度系列双/多边演习。2017年10月，美军首次将斯里兰卡加入“卡拉特”合作伙伴之列，在斯里兰卡举行美斯“卡拉特2017”演习。菲律宾原为传统参演国，2017年起宣布退出该系列演习。,美太总部和参演国武装部队总司令部共同主持，美第7舰队与各参演国海军部队分阶段组织实施。,提升美与上述国家信息共享和协同作战水平，深化军民合作关系，增强共同应对地区危机和保护海上安全的能力。,,菲律宾、泰国、印尼、马来西亚、文莱、新加坡、柬埔寨、孟加拉国、东帝坟全称“海上战备与训练合作演习”，始于1995年，一般持续数月。,两栖作战、海上巡逻、海上监视、海上拦截、海上搜救、医疗撤运、反潜等。
512155823228026880,2020/11/14 06:44:23.652000000,2020/11/14 06:44:23.667000000,6,"无固定参演部队。2017年参演兵力共包括1200余名人员、76架战机以及43套防空武器参演，其中美军参演兵力包括220名人员，以及F-15,E-3型机。",,对抗虎,联合空战演习，美在东南亚最大规模年度空军联合演习之一。,美太总部空军司令部和泰、新两国空军司令部共同组织。,检验和提高三国空军联合作战和快速部署能力。促进三国伙伴关系，推动提升地区海上安全、反恐、搜救和人道主义救灾行动能力。,新加坡、泰国。,始于1995年，一般年初举行，持续10天左右。,空战、电子战、指挥控制、搜索救援、战术空投、近距空中支援、人道主义援助等。演习分指挥所和野外实兵两个阶段，指挥所演习在新巴耶利巴空军基地举行，野外实兵演习在泰呵叻和乌隆空军基地举行。
512155823299330048,2020/11/14 06:44:23.669000000,2020/11/14 06:44:23.686000000,6,演习由美参联会和菲国防部协调，美太平洋总部和菲武装部队司令部联合筹划，参演部队临时抽组，统一编入“美菲联合特遣部队”。,,肩并肩,美菲规模最大的年度诸军兵种联合演习。,美参联会和菲国防部协调，美太总部和菲武装部队司令部联合组织实施。,检验和演练美菲两国部队协同作战能力及美军支援亚太地区作战的快速反应能力，提高两军抵御外来侵略的能力。,菲沿海地区。,演习始于1978年，最初名为“快速跳跃”，1982年改为现用名。,图上作业、两栖作战、空中支援、丛林机动、海空侦察、电子对抗、搜索救援、空降空投、民事支援等。演习主要分为指挥所演习、野战训练演习和人道主义民事援助三部分。
512155823383216128,2020/11/14 06:44:23.689000000,2020/11/14 06:44:23.709000000,5,无固定参演部队。2016年美军1400人、菲军500人参演。,,“菲布莱克斯”两栖登陆演习,美海军、陆战队与菲军年度两栖登陆联合演习。,,加强美菲两军协同，提高共同应对地区海上危机的能力。,菲律宾。,演习始于1983年，至2016年已举办33届。,指挥所演习、野战训练、两栖作战、人道主义救援等。
512155823479685120,2020/11/14 06:44:23.712000000,2020/11/14 06:44:23.732000000,6,美军主要有运输司令部、特种作战司令部、太总部所属各组成司令部、第7舰队、第3陆战远征部队等。2017年演习人员总数超过3.3万人;参演舰只21艘，其中包括“里根”号航母及其属舰、“好人理查德”号远征打击大队所属舰只;参演飞机超过200架。除美澳外，新西兰和日本也派出军队参加演习。,,护身符·军刀,美澳间最重要的双边指挥所加实兵联合军演。,美太总部和澳国防军联合作战司令部共同组织实施。,提升两军联合训练与协同作战水平，提升共同应对亚太地区危机的应急反应能力，检验第7舰队实施力量投送和强行进入行动的能力。,美国、澳大利亚多地。,演习始于2005年，每2年举行1次。日本、新西兰2015年派兵参演，加拿大于2017年首度参演。,联合空战、两栖登陆、地面机动、炮火支援、防空作战、空降突击、联合反潜、海上预警、舰机协同、搜索救援、电子攻击、特种作战、城市作战等。
512155823571959808,2020/11/14 06:44:23.734000000,2020/11/14 06:44:23.754000000,6,美军主要有运输司令部、特种作战司令部，太总部及所属各组成司令部、第25步兵师、第7舰队、第3陆战队远征部队等。近年来，演习朝多边化发展，新加坡、日本、印尼、韩国、马来西亚、蒙古等相继参演。,,金色眼镜蛇,美泰主导的年度多边诸兵种联合演习，东南亚规模最大的例行性联合军演。,美太总部、泰武装部队总司令部共同组织。,提高美泰军队联合抵御威胁和侵略的能力，重点检验美泰两军指挥协调、情报共享、危机反应等能力。,一般在泰国中、南部及其沿海地区。,演习始于1982年，最初是美泰双边联演，后逐渐扩展为多边演习。,陆上、海上和空中作战、两栖作战、特种作战、丛林作战、
512155823664234496,2020/11/14 06:44:23.756000000,2020/11/14 06:44:23.776000000,5,2017年参演舰艇规模为历史之最。美军派出1个航母打击大队，包括1艘核动力航母、，艘导弹巡洋舰、3艘导弹驱逐舰和1艘攻击型核潜艇。印军派出唯一的航母“维克拉马蒂亚”号，以及6至7艘军舰和1艘俄制基洛级潜艇。日本海上自卫队派出1艘直升机驱逐舰和1艘驱逐舰参演。,,马拉巴尔,最初为美印双边演习，近年来逐渐扩展为美印日三边演习。,,旨在促进美日印三国海上军事合作，提升参演部队在多国环境下的作战筹划和战术协同能力。,印度东部海域、孟加拉湾，日本冲绳海域。,演习始于1992年，1998年至2002年因印度核武器试验一度中止，后每年举行一次。,专业交流、侦察、反潜、防空、扫雷、医疗撤运、水面战、
512155823760703488,2020/11/14 06:44:23.778000000,2020/11/14 06:44:23.798000000,5,超过850名人员;新海军2艘护卫舰、1艘登陆舰以及S-70日型直升机;美海军1艘濒海战斗舰、1艘导弹驱逐舰、，艘舰队油船、P-8型机以及“霍克猎人”战斗机。,,太平洋狮鹜,美新海军高端作战双边演习。,,实施具有实质规模和复杂程度的高端作战演练。,关岛。,演习始于2017年。,反潜、反水面及防空作战。
